global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
1045.2426849522776	n/a	1092532.2704462465	n/a	1111.2554463704428	n/a	n/a	1234888.667087972	979.1389706480736	n/a	958713.1238417692	n/a	996.502222600289	836.4740053576563	n/a	n/a	n/a	n/a	0.0788274196	-0.0707610575	0.0207854969	-0.0749891586	-0.1116102958	0.0803568169	-0.0865959901	0.0876234699	-0.1143333556	-0.1689934384	0.0820997944	-0.0760330432	0.0665854331	-0.0391405235	-0.005073431	0.0699523568	-0.1394749939	0.0951412973	-0.0103762904	-0.0697156905	0.1453386897	-0.0802247553	0.0835433345	-0.1615181272	0.0530659185	-0.0651600557	0.0817042896	-0.0201266549	0.0719247179	-0.0499330363	0.1079469607	-0.0981291015	0.1754786608	-0.0299914091	-0.0732175662	0.0552113903	-0.0423183336	-0.0168258296	-0.0235708154	0.08089652	0.0731425137	-0.1045805481	-0.0333231586	-0.0167654865	0.1490373067	-0.0729488692	-0.008486319	-0.0056098459	0.0345888288	-0.089706718	0.006415567	-0.099966177	-0.0989613168	0.2156572011	-0.0123477024	0.1126266176	-0.1703952358	0.0231076528	0.0330341162	-0.1480030599	0.0653713765	-0.0363790719	0.0009729192	-0.0073021064	0.0464109742	-0.0012278861	0.0287688439	-0.0950391659	0.0194775242	-0.0354704319	0.0091353048	0.0673395454	-0.1075116669	0.0001814671	0.0735573	-0.0255097096	-0.1131772095	0.1579686126	0.0798132621	-0.0126820156	-0.0120842713	-0.123295698	0.073105968	0.1028029556	-0.1258838936	0.0246680924	-0.0348230302	0.1036932481	-0.0572867857	-0.0357908719	0.104639406	-0.0806939045	0.0991681104	-0.0060989008	0.0449351856	-0.1327726886	0.1349523958	-0.1539942429	0.0130060865	-0.140907251	0.0069164569	-0.12403559	0.0491848659	-0.0429917632	0.0340283944	-0.0935140947	0.0274343657	0.1290883846	0.1290552057	0.1289999139	0.1289225186	3.0765906899432593e-05	n/a	9.46541027344554e-10	n/a	-0.0355008075566445	n/a	n/a	0.0012603073371739	0.0495236696422978	n/a	0.0024525938548394	n/a	-0.0011213621024857	n/a	n/a	1.2574529648911497e-06	-0.0009176697696313	n/a	8.421178060951632e-07	n/a	0.0003019860304144	n/a	9.119556256544693e-08	n/a	0.0
1042.1830147626124	-3.059670189665212	1086145.4362596876	9.361581669525956	1099.7585276285806	-11.496918741862146	132.17914055698108	1209468.8190917836	980.1349012786268	0.9959306305531754	960664.4247044636	0.9918778208740456	997.8415089333142	823.8650015519848	1.073935	17.012039	0.0983768171526771	0.0501636805241087	0.0863324767	0.0880648637	0.0200640398	-0.1591411854	0.0700641847	0.0201229617	-0.031747917	0.1368214792	-0.031858178	-0.2618869112	0.0419637952	-0.0960478748	0.0023478337	0.0319405298	-0.0677203907	-0.068037832	-0.0128818454	0.1125165718	0.0605972193	0.049691195	0.1411993452	-0.0990958967	0.1869880935	-0.0964468267	0.0862279155	0.0793278935	-0.0182539107	-0.1402652415	0.1934760859	-0.1225429363	0.0420096113	-0.0669315926	-0.0722076253	-0.1134818234	0.0658172177	0.024606005	0.0440457032	-0.0664392643	-0.0269088736	0.0009563894	-0.0972358589	-0.0267409793	-0.0011123804	-0.1050172549	-0.0696369455	0.0583960151	0.148641616	0.0439881069	0.0788885396	-0.0211168787	-0.0234586853	0.0603016965	-0.0484120968	0.1205224619	0.076185454	0.1462889962	-0.0800721663	0.0688533448	0.021664608	-0.0832766869	-0.0148634659	0.0990458215	-0.0322720041	0.0655460229	0.0576810911	-0.1469729728	-0.0787741764	-0.0526099163	0.0845055246	-0.011919471	-0.1325309347	-0.0928055826	-0.2208594323	0.1033485779	0.1194052804	-0.0853719567	-0.101410748	0.0414805245	-0.0105577875	-0.0278971442	0.0119737184	0.0618318356	-0.1132750731	0.06019784	-0.1290988454	0.0264915218	-0.1412958421	-0.0453760352	-0.0301687791	-0.0762782568	0.0500132439	-0.1483985211	0.0225809909	0.0513563623	0.0753962395	-0.1307357602	0.0693418516	-0.0518574979	-0.0951511706	0.0507052985	-0.0187177394	0.0134605687	0.0166405179	-0.0691471361	0.0044432829	-0.0625086028	0.0503819379	0.1289999139	0.1287014744	0.1282045865	0.1275100165	8.423202176288669e-05	5.3466114863454095e-05	7.095033490263416e-09	2.858625438592067e-09	0.0028002486764506	0.0383010562330951	0.0014669709085707	7.841392649963336e-06	0.0700375967950464	0.0205139271527486	0.0049052649648254	0.0004208212072282	-0.0006867686494491	0.0004345934530365	1.888714694222754e-07	4.716511778661408e-07	-0.0011841359589792	-0.0002664661893479	1.4021779693475898e-06	7.100423006559098e-08	0.0003910937410693	8.91077106549e-05	1.529543143035807e-07	7.940184098157379e-09	0.0
1042.8892946484716	0.7062798858592032	1087618.0808923866	0.4988312771692891	1107.2496637517756	7.4911361231950195	56.117120416237306	1226001.8178784202	980.8536421233532	0.7187408447264261	962073.867266647	0.5165884018780565	998.3690432550789	819.4949629199283	1.158275	18.348049	0.0705104767220765	0.0336889708004765	-0.1106618849	0.0676376696	-0.0209091824	-0.0691971018	-0.0168698782	-0.143798742	0.0361598932	-0.0151899636	0.0688076275	-0.0037191362	0.0376110352	0.0584528101	-0.0276208727	0.0096195394	-0.0626565505	0.0012716588	0.0603700834	-0.0626426991	-0.0008270775	-0.0741738668	-0.0451407731	-0.0499267383	-0.1041932243	0.0676049308	0.0182954762	0.0693549511	0.0577945616	-0.0589362261	0.1744099216	0.0128567419	0.0429251697	-0.0366554181	0.0578840134	-0.0363049468	-0.0341001043	-0.0232069295	0.0448097009	0.0799428752	-0.1126052269	0.0553877955	0.0399862622	0.1347477668	-0.096197042	-0.0423349565	0.0162078229	0.01029403	-0.0335019937	0.0646637441	-0.0622453654	0.0343724973	-0.0708386076	0.0714517675	0.0395478092	-0.0195654043	-0.0216926571	0.059625359	0.0358606132	-0.0105485638	-0.0240538176	0.0140320141	0.1362913807	0.0500947594	0.0303943731	-0.0166160372	-0.0445209837	0.0706138531	-0.1102314333	-0.1143381854	0.0336140055	0.0158565575	0.2026665163	0.0006748366	-0.0102215112	0.0855722673	0.0279195507	0.0531183503	0.0077497264	-0.0003899072	-0.0426433771	0.045952193	-0.0949238554	-0.0227212441	-0.1883787593	0.0086473445	-0.1015086954	0.0453111897	0.0251624512	-0.1193847705	-0.0178772479	0.0239413244	0.007374101	0.0947379596	0.0371162319	-0.0241197399	0.0349632078	-0.1592410818	0.1632576403	-0.0244792488	-0.0833730299	-0.1311412614	0.0257212345	-0.0017109653	-0.0931126827	0.08358281	-0.2365016943	-0.0499041863	-0.0161835208	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0171270514748727	-0.0172112834966355	0.0002933358922229	0.0002962282796015	0.0026135333607015	-0.0001867153157491	3.4862609135286154e-08	6.830556627499676e-06	0.0899276490332283	0.0198900522381818	0.0080869820606434	0.0003956141780376	-0.0007637366356141	-7.696798616499997e-05	5.924070894295627e-09	5.832936485791445e-07	-0.0008362435097168	0.0003478924492624	6.993032075434718e-07	1.2102915625379164e-07	0.0006306818190721	0.0002395880780027	3.977595569080931e-07	5.740244712107576e-08	0.0
1040.66505426208	-2.224240386391557	1082983.755162298	4.947245296455263	1098.5431816332268	-8.70648211854882	75.80283088061034	1206797.1219128529	980.6120999205348	-0.2415422028184366	961600.0905105608	0.0583426357423827	996.9791543194914	821.09708221901	1.248726	19.78087	0.0535855338773072	0.02855778135896	0.0280388298	-0.0943785504	-0.0888080111	-0.1437983192	-0.0378671754	0.0913546612	0.1396141089	0.1060155618	-0.014262364	-0.1660018446	-0.1128652147	-0.008829145	0.1424237222	-0.0793919513	0.0145098983	-0.0367982472	-0.0726731601	0.1352308417	-0.11788979	0.0015521576	0.070206952	0.1283083871	-0.0220962687	0.0551660352	0.1753452565	-0.0261246083	-0.0497964778	0.1455856095	-0.0022147908	0.1098643453	0.0809700937	0.0378221561	0.080574172	-0.1213548573	-0.0252642436	0.0297325652	-0.0062428587	0.0500054281	0.1707580555	-0.0205728801	0.0684607231	0.1153242849	-0.0854087831	0.0542514669	0.0077551862	0.1088338471	-0.083154835	-0.1557492401	-0.0137465869	-0.1787206325	0.0634861505	-0.0395925057	-0.0438068411	0.1498672657	0.1273443903	-0.028787956	-0.0404944205	0.0726232084	-0.0444201389	0.0273501204	0.0060966295	0.0533249561	0.1009664979	-0.239038726	-0.0102678979	0.0714294278	-0.0277808844	0.0198495945	-0.1400667234	-0.0518869115	-0.0409519916	0.0457828049	0.0981872002	0.1145337983	-0.1013341922	0.0625891167	0.0556117943	0.0039400064	0.1266433407	-0.0571228511	0.0042460136	-0.0310872646	0.0618752101	0.0493506379	-0.0695806293	0.1386748156	-0.0398132625	0.0856266016	-0.1137172005	-0.0838822242	-0.0288155563	-0.2233450348	-0.0187369175	0.0857386001	0.0739084301	-0.1393302448	0.1392435853	0.0374582251	-0.1010329004	0.0031676377	-0.005477405	-0.015318091	-0.0607832953	0.0317867386	0.0428776266	0.0254739308	0.0030661368	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0066216254116255	0.0105054260632472	4.384592309188457e-05	0.0001103639767703	0.0254290463553559	0.0228155129946544	0.0005205476332092	0.0006466363985428	0.101886052437834	0.0119584034046057	0.010380767681365	0.0001430034119872	-0.0005977358690548	0.0001660007665593	2.755625449827521e-08	3.57288169154697e-07	-0.000836188849578	5.4660138799943546e-08	6.992117921585792e-07	2.987730773629093e-15	0.00063075022067	6.840159789999519e-08	3.978458408752537e-07	4.6787785952726265e-15	0.0
1041.84512443655	1.1800701744698472	1085441.26331221	1.3925656166732956	1096.7463586055871	-1.7968230276396753	3.228572992656209	1202852.5751146153	980.2217438940908	-0.3903560264440102	960834.6672027725	0.1523778273811568	998.3424090568924	816.319914473779	1.277909	20.243149	0.0398212273984407	0.0223703476561584	0.0716960898	0.0759326634	-0.026732958	-0.1420473888	0.162864551	0.0242885024	0.006181083	-0.1723935519	0.0208369054	-0.101916775	-0.0940166855	-0.0847894656	0.0474372402	0.0942016695	-0.1058196809	-0.1027036538	0.10786992	-0.0108224502	-0.0469672954	0.0056455685	0.0749587974	0.1369168004	0.0611487631	-0.0007846583	0.0027296401	0.095478084	0.0026584562	0.0497113601	0.0440267936	-0.015426505	-0.1638053982	0.1269202273	-0.0492098449	0.095741251	0.0042948074	-0.1597844847	-0.1228839189	0.045159995	0.0469985914	0.0587973825	0.1347926484	-0.0397173539	0.1869450779	-0.1052583694	-0.0801551434	-0.06817719	-0.0099090971	0.0450674288	0.0758676292	0.0219720173	0.0673910269	0.208336248	0.0327249114	-0.0522219021	0.036694561	-0.0629178182	-0.0229344959	0.0939834654	-0.0506326861	0.0453597316	-0.0769438491	0.1040451553	0.0471507596	0.135308265	-0.0435346874	-0.1229525201	-0.0099124744	-0.0554232541	-0.2129639143	-0.0021632344	0.0007091706	-0.0558912087	0.0612111631	-0.1171204992	0.1073831775	0.0766400385	-0.1120754836	-0.062102404	-0.000717582	0.1692959936	-0.0250444907	0.1241816188	0.0615458063	0.0425919645	0.0789559748	0.1289317104	-0.1565813238	-0.115532866	0.1040662303	-0.0391241169	-0.0419270465	0.0537161382	-0.0403043514	-0.0192253193	0.0033639951	-0.0477354809	0.0677377472	0.0095681136	-0.1296586977	0.080086987	0.0986205554	0.1439975371	0.019659579	0.0997041628	-0.1066409935	-0.08939203	0.0330075972	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0086695978546202	-0.0020479724429947	7.516192696083518e-05	4.194191127265681e-06	0.0143505386725024	-0.0110785076828535	0.000122733332479	0.0002059379601909	0.0901270672135865	-0.0117589852242474	0.0081228882445223	0.000138273733504	-0.0005978614517591	-1.2558270429997593e-07	1.5771015619295193e-14	3.574383154994986e-07	-0.0008360995049914	8.934458660002279e-08	6.990623822468642e-07	7.982455154728971e-15	0.000332249906994	-0.000298500313676	1.1039000069752165e-07	8.910243726467038e-08	0.0
1044.38305319046	2.537928753910137	1090735.961791427	6.44108235992386	1109.778685506185	13.032326900597807	169.8415444440453	1231608.7308038357	981.830321188534	1.6085772944431938	963990.7796051798	2.587520912198185	999.5006232544816	821.892164670504	1.154791	18.292854	0.0550563592242233	0.0232142926745376	-0.1076502965	0.0448367499	0.0375240767	-0.0527999256	-0.0455607981	-0.1043397042	0.0157663642	-0.194788329	0.0812011295	0.0785827993	-0.042678409	0.0958313176	-0.0572483008	0.0564208296	-0.0100009871	-0.0033487105	0.082451774	0.0805862917	-0.0619111327	-0.0438121435	-0.1782200844	-0.0379552231	-0.0019953234	0.0984923012	0.0240197996	0.0110704103	0.143594361	-0.0773331313	-0.0642296462	-0.0311163753	0.0041695925	0.040159405	-0.072407363	0.0473501918	-0.0218597304	-0.1664898105	-0.0241095495	0.0129999598	-0.0157195375	0.1349626041	0.1442200018	0.0113528481	-0.0650060418	-0.0284331065	-0.0519818005	-0.0031472286	0.0152981644	-0.0009914035	-0.1023328564	0.1088382053	0.0024657985	0.1062234072	0.05724177	-0.0975441637	0.0326481917	-0.0866561395	0.1188653477	0.0897650932	0.0818235289	-0.0140114556	-0.0093411611	0.011405509	0.0882764471	0.1139408452	0.110743565	0.171128566	-0.1198734026	-0.0487116947	-0.0965411324	-0.1199698677	0.0537510907	0.0721117543	0.0413040646	0.0372369551	0.0715813249	0.0271367667	-0.0874245383	0.1037547058	0.0405854876	-0.0564216869	-0.0328001609	0.0818416129	0.0089456383	-0.0023088474	-0.0232390099	0.0849405732	0.0048563174	-0.1236277533	0.0509424787	-0.007892911	-0.0270628365	-0.0256408631	0.0430903995	-0.0493283084	-0.0178056591	-0.0879604341	0.0732199684	0.0613715374	-0.0583957847	0.0062155525	0.0190342347	0.0043940217	-0.0581633504	0.0648019889	-0.1393964	0.0221679752	-0.1653934541	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0177704554119628	-0.0091008575573426	0.0003157890855485	8.282560827903994e-05	0.0262462584206417	0.0118957197481393	0.0001415081483262	0.0006888660810831	0.0995429062146229	0.0094158390010364	0.0099087901776532	8.86580240934382e-05	-0.0004889551586392	0.0001089062931198	1.186058068111757e-08	2.390771471598852e-07	-0.0006450344124653	0.000191065092526	4.160693932644548e-07	3.6505869582007155e-08	0.0001393424342859	-0.0001929074727081	1.941631399272036e-08	3.721329302662634e-08	0.0
1044.5804857206635	0.197432530203514	1091148.3911484175	0.0389796039825614	1113.6975554495148	3.9188699433298098	15.357541632733788	1240322.2450142251	981.8941923253676	0.0638711368336544	964116.204922286	0.0040795221204234	998.6618802938212	830.3965242598354	1.096819	17.374537	0.0778159625256127	0.0437288953537321	-0.1031236608	-0.1103799332	0.0086260947	-0.0548438837	-0.1256997735	0.0643184497	0.0718142798	-0.162826846	0.0365473739	-0.0418299821	-0.0400496718	0.1588776591	0.1338418181	0.0623126507	-0.0476521872	-0.0767944811	0.0791014724	0.0241013149	0.0875201366	0.0177965995	-0.0587884481	-0.0296272325	0.1776466954	0.0670457075	0.0127956526	-0.1056492793	0.0235092225	-0.0842809558	-0.0534380501	0.0229515965	-0.0556219455	0.0089083262	-0.1215497172	0.0217716382	0.2368689813	0.0370951349	-0.0625769547	-0.0085533674	0.0424417634	-0.1202140373	0.0511300508	0.0167473021	0.0370251663	0.0219668244	0.1800117588	-0.0140202	-0.071049813	-0.153920749	-0.1654511007	-0.0415008643	0.0952311941	0.1017706017	0.0847121908	-0.0080852624	-0.0179434154	0.0759317514	0.0681309213	0.0744563669	0.0068632325	-0.1256416071	-0.0050282521	-0.0152336639	-0.0444693664	0.0403144873	0.0514199284	0.00398829	0.0472058998	0.1170959661	0.0505060776	0.0277366301	-0.1743556696	-0.1199819595	-0.0412787234	-0.0461022391	-0.0869113715	0.0686084207	0.0592464295	0.0362819667	-0.0477377048	-0.039313617	-0.0020817257	-0.1091267115	0.0331212825	0.0744669839	0.1547068997	0.0702916858	0.1042800104	-0.0749087711	0.0163619476	0.0014917549	-0.0361435238	0.0542815244	-0.0376718874	0.0085417545	0.107465268	-0.0090867753	0.0962156688	-0.06154216	0.0245820228	0.0549379166	0.0987694586	0.0545621668	-0.1546009782	-0.0335563135	0.0788143577	0.0921131304	-0.0805784051	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0179594140157348	-0.0001889586037719	0.0003225405517885	3.570535393946262e-08	0.0077651978768074	-0.0184810605438343	0.0003415495988248	6.029829806597415e-05	0.0617783128462292	-0.0377645933683937	0.0038165599381265	0.0014261645122801	-0.0007589799060032	-0.000270024747364	7.291336418899204e-08	5.760504977166263e-07	-0.0007190217232053	-7.398731074e-05	5.169922384411191e-07	5.474122150537319e-09	5.572749219764461e-05	-8.361494208825539e-05	3.105553386638541e-09	6.9914585404223025e-09	0.0
1043.4533440497592	-1.127141670904393	1088794.8812086252	1.2704483462891476	1098.7962492046934	-14.9013062448214	222.04892780195323	1207353.1972663023	981.3144018435012	-0.5797904818664392	962977.9552654685	0.3361570028629178	997.9859915255367	831.673262689727	1.09089	17.280613	0.04953299602926	0.0225812829148751	0.0410752675	-0.1193051711	-0.0227520357	-0.0001883743	-3.60969e-05	0.1191092799	0.0554504393	-0.1263121614	0.0085082884	0.0538122584	0.0595642419	0.033610839	0.1323220715	0.0330429601	0.0175888602	-0.0827823144	-0.1105024966	-0.0954637068	0.0109202666	0.0094261313	-0.1693459875	-0.0521390185	-0.1175845876	0.0203665044	-0.0711801704	-0.0464650122	-0.1418080281	-0.06899325	0.006160049	0.0468593201	-0.0657389436	0.2262814585	0.0319146276	-0.1095981883	0.006099526	-0.0042603437	0.0636799634	-0.1236350152	-0.1252927572	0.0105009535	0.0231963437	0.1543608202	0.0641072779	-0.0332335781	0.1480739406	-0.138292073	-0.0115323519	0.0159054197	-0.0343495572	-0.0983064894	0.1147862695	0.0349923316	0.1520516065	0.0456059073	-0.0487756016	-0.1390421966	0.0767799757	-0.0841387476	0.0198043602	-0.0150543286	0.117962142	-0.1032929702	-0.1398008317	0.0175454347	-0.0773786598	0.0768019636	-0.0550062987	0.0303375609	0.048121396	-0.0166273377	-0.0732052698	0.0063594645	0.2151330021	0.0557508793	-0.0516516328	0.1742819316	-0.035433049	-0.0683617926	-0.1628048704	0.0113871261	0.0476295296	-0.0269538578	0.0049269612	0.0645635427	0.1380201827	0.0148966984	0.0164350264	0.058859761	-0.0870680962	0.0487832376	-0.0270000341	-0.006547996	0.0774675439	0.0391273408	0.1421567839	-0.0329142525	0.0456232233	-0.0463059636	0.0456233867	0.0383275844	0.1272411465	0.0299142888	-0.0606070611	-0.1075182137	0.1517877515	0.0828140738	0.037501826	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0124097407971817	0.005549673218553	0.0001540016666532	3.0798872832725515e-05	0.0036631396026223	-0.0041020582741851	1.6826882084810445e-05	1.341859174829986e-05	0.0735681047463856	0.0117897919001564	0.0054122660359751	0.0001389991930489	-0.0004220215749519	0.0003369583310513	1.1354091686487749e-07	1.7810220972488217e-07	-0.0008359887975568	-0.0001169670743514	6.988772696404643e-07	1.3681296482349314e-08	-5.217655512686518e-05	-0.0001079040473245	2.722392904906801e-09	1.1643283429010051e-08	0.0
1041.835954739964	-1.617389309795044	1085422.1565889325	2.6159481794392887	1099.3078314578895	0.5115822531961385	0.2617164017852379	1208477.7083046476	979.0975619446998	-2.216839898801368	958632.0358060552	4.914379136917659	996.7032913425472	821.9038923147186	1.11457	17.655724	0.0636996539133101	0.0375507129194658	0.080399869	0.0674245666	-0.009447533	-0.0636878038	0.1117415548	0.0202751258	-0.0004114538	-0.1090021344	0.0263496266	-0.0213140705	0.0770556516	-0.1194141075	0.0186739535	-0.0150393293	-0.1217518629	-0.1023587366	-0.1014218186	-0.0248698804	0.0440506055	0.0531970867	-0.0511709313	0.0327533155	-0.0064851562	0.0960079552	-0.0835251374	0.1666484944	-0.1695190855	0.1259052157	-0.0419233128	0.1099589328	0.0669045832	0.124466288	-0.134223293	0.183211854	-0.0259515558	-0.0495921384	-0.1065108227	-0.106814471	-0.1022486828	-0.0236171925	-0.0739949804	0.0725677658	0.0303285617	-0.038051548	-0.1262728194	0.0349738018	-0.0991041792	0.0038000116	0.0958957864	-0.0658311925	-0.0003129005	0.1496536935	0.0498387661	0.0703163043	-0.007771685	-0.0566776682	0.0749022368	-0.0515799504	0.002576864	0.0774472565	-0.1377249636	-0.0081736591	-0.0362373988	-0.080729749	-0.0943934107	-0.1136150562	0.016421591	0.0393586075	-0.0493773468	0.1660393774	0.0494511898	-0.228851819	0.1974441607	-0.0321151028	-0.002159207	0.0318805919	0.038109606	-0.0991525171	-0.2240187256	0.0195521396	-0.0338728141	-0.0101376571	-0.0733576036	0.0331456665	0.1683030769	-0.0213078102	-0.1269354626	-0.0627277291	-0.0191742143	-0.0514985869	0.0035707613	0.0245623594	0.034594518	0.0460188721	-0.0803366054	0.1052718671	-0.0545711988	-0.0694279627	0.0216607615	0.1605702106	0.0052725361	0.0825402398	0.0183430297	0.1516079317	0.2038771778	0.072330143	0.1225356341	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0177302599745843	-0.0053205191774026	0.0003143621187663	2.8307924317108847e-05	0.0117992977158962	0.0081361581132739	6.61970688441927e-05	0.0001392234265883	0.073689200735501	0.0001210959891154	0.0054300983050369	1.4664238579837636e-08	0.000163152705112	0.0005851742800639	3.424289380483037e-07	2.6618805185363233e-08	-0.000835970282182	1.851537479997771e-08	6.988463126914527e-07	3.4281910398364964e-16	0.0003650682621048	0.0004172448172316	1.3327483599621897e-07	1.740932375066857e-07	0.0
1042.341026132516	0.5050713925518266	1086474.8147589862	0.2550971115742413	1101.35278227835	2.044950820460599	4.181823858102478	1212977.9510322628	980.0580839269302	0.9605219822303752	960513.8478705256	0.9226024783477692	998.0072082374554	817.5720920619661	1.083169	17.158312	0.0353317492243584	0.0201485345471502	-0.0824256684	0.0877177689	0.008347285	-0.0245413352	0.0393966589	-0.1370396716	0.0072961445	-0.1491019076	0.0736855188	0.0481952487	0.052216138	0.0010424914	-0.154112769	0.0482988668	-0.144888267	0.0928038909	-0.0367552476	0.0281057042	0.158005993	0.0361304998	-0.0777909441	0.035853529	-0.0094381772	0.039179443	-0.0818350258	-0.0138187224	0.1185739776	0.0211897598	0.0434838821	-0.0136784472	-0.0778424806	-0.0107539355	-0.0336032555	-0.0280282922	-0.329230454	-0.0486337954	-0.0190765575	0.0552132779	0.0502802735	0.0319130033	-0.0861478464	0.0175337172	-0.0994621267	0.0287180336	-0.2310489991	-0.0925430619	0.0096219713	0.0080812863	-0.0007878509	0.1083363651	-0.1004844921	0.11205536	-0.0620961098	0.0311292915	-0.1015718934	-0.0289076847	0.1183242883	-0.0684072823	-0.0310482407	0.0567031328	-0.0121231148	0.0320767924	-0.0851230943	0.1528513623	0.0202804594	0.0001903537	-0.0251488559	-0.0448833695	0.004607516	0.0008568771	0.0328928274	0.21084821	0.0763571261	-0.004121667	-0.06978128	-0.0321028549	0.0579736339	0.0464501494	0.0670367914	0.15419739	0.0148640539	-0.0899978123	-0.0356022993	0.0052135255	0.0847129574	-0.096973811	0.016838406	-0.1309216721	-0.0404208602	-0.02873691	-0.0455768226	0.0246737078	0.0318206103	-0.0563872605	0.0351557048	-0.0020608624	-0.1008940627	0.1517387445	0.0277045934	-0.0648381785	0.0920162662	0.0472649525	-0.0429018621	0.064266958	-0.0451169384	-0.0226137921	-0.0052633658	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0143708390298371	0.0033594209447472	0.0002065210144214	1.1285709084006175e-05	0.0076818923613757	-0.0041174053545205	1.6953026853434083e-05	5.901147025176233e-05	0.0552308688149452	-0.0184583319205558	0.0030504488700536	0.0003407100172894	8.219726647450162e-05	-8.095543863749838e-05	6.553783044989765e-09	6.756390615880227e-09	-0.0008359804231465	-1.0140964499995991e-08	6.988632678842012e-07	1.0283916099017895e-16	0.0004720345025935	0.0001069662404886	2.2281657163869295e-07	1.1441776604286398e-08	0.0
